# index, airport_code, airport_id, airport_seq_id, city_market_id, origin, city_name, state_abr, state_fips, state_nm, wac, _pos
76,GSO,11995,1199501,31995,,"Greensboro/High Point, NC",NC,37,North Carolina,36,"array([-3.18302506,  1.20608129])"
77,IND,12339,1233904,32337,,"Indianapolis, IN",IN,18,Indiana,42,"array([-3.19555222,  1.18888821])"
78,SAV,14685,1468501,34685,,"Savannah, GA",GA,13,Georgia,34,"array([-3.20694567,  1.20776409])"
79,ABE,10135,1013501,30135,,"Allentown/Bethlehem/Easton, PA",PA,42,Pennsylvania,23,"array([-3.18480219,  1.21831112])"
80,BHM,10599,1059904,30599,,"Birmingham, AL",AL,01,Alabama,51,"array([-3.20302262,  1.19428096])"
81,CMH,11066,1106606,31066,,"Columbus, OH",OH,39,Ohio,44,"array([-3.18346454,  1.19692511])"
82,DAB,11252,1125202,31252,,"Daytona Beach, FL",FL,12,Florida,33,"array([-3.21394062,  1.21764418])"
83,RDU,14492,1449202,34492,,"Raleigh/Durham, NC",NC,37,North Carolina,36,"array([-3.18712884,  1.20024579])"
84,GTF,12003,1200301,31895,,"Great Falls, MT",MT,30,Montana,84,"array([-3.1786746,  1.1488395])"
85,AUS,10423,1042302,30423,,"Austin, TX",TX,48,Texas,74,"array([-3.19517677,  1.18301912])"
86,BZN,10849,1084906,30849,,"Bozeman, MT",MT,30,Montana,84,"array([-3.19281881,  1.16252741])"
87,GUM,12016,1201602,32016,,"Guam, TT",TT,75,U.S. Pacific Trust Territories and Possessions,5,"array([-3.1996403 ,  1.10315074])"
88,HLN,12156,1215601,32156,,"Helena, MT",MT,30,Montana,84,"array([-3.16497277,  1.14792149])"
89,HNL,12173,1217305,32134,,"Honolulu, HI",HI,15,Hawaii,2,"array([-3.19579824,  1.15158243])"
90,ITO,12402,1240203,32402,,"Hilo, HI",HI,15,Hawaii,2,"array([-3.2104653 ,  1.13532632])"
91,JON,12535,1253502,32535,,"Johnston Island, TT",TT,75,U.S. Pacific Trust Territories and Possessions,5,"array([-3.18775637,  1.07958111])"
92,HOU,12191,1219101,31453,,"Houston, TX",TX,48,Texas,74,"array([-3.20166879,  1.18650077])"
93,HRL,12206,1220601,32206,,"Harlingen/San Benito, TX",TX,48,Texas,74,"array([-3.20737178,  1.18078815])"
94,SRQ,14986,1498603,34986,,"Sarasota/Bradenton, FL",FL,12,Florida,33,"array([-3.21149868,  1.20552136])"
95,HTS,12223,1222305,32223,,"Ashland, WV",WV,54,West Virginia,39,"array([-3.18143821,  1.24184025])"
96,ABQ,10140,1014001,30140,,"Albuquerque, NM",NM,35,New Mexico,86,"array([-3.20442177,  1.17527548])"
97,ATL,10397,1039703,30397,,"Atlanta, GA",GA,13,Georgia,34,"array([-3.19169252,  1.20012766])"
98,BTR,10781,1078101,30781,,"Baton Rouge, LA",LA,22,Louisiana,72,"array([-3.17421331,  1.21254898])"
99,DCA,11278,1127803,30852,,"Washington, DC",VA,51,Virginia,38,"array([-3.19105649,  1.19459956])"
100,JAX,12451,1245102,31136,,"Jacksonville, FL",FL,12,Florida,33,"array([-3.19702206,  1.20340202])"
101,TYS,15412,1541201,35412,,"Knoxville, TN",TN,47,Tennessee,54,"array([-3.18827759,  1.21445658])"
102,PVD,14307,1430701,30721,,"Providence, RI",RI,44,Rhode Island,15,"array([-3.20144951,  1.2063425 ])"
103,SCK,14716,1471602,34716,,"Stockton, CA",CA,06,California,91,"array([-3.23228745,  1.15509   ])"
104,SGF,14783,1478301,34783,,"Springfield, MO",MO,29,Missouri,64,"array([-3.16988247,  1.18932594])"
105,IDA,12280,1228001,32280,,"Idaho Falls, ID",ID,16,Idaho,83,"array([-3.17124309,  1.14489913])"
106,MLB,13360,1336002,33360,,"Melbourne, FL",FL,12,Florida,33,"array([-3.20865656,  1.22705117])"
107,RNO,14570,1457001,34570,,"Reno, NV",NV,32,Nevada,85,"array([-3.19269303,  1.1708519 ])"
108,TPA,15304,1530401,33195,,"Tampa, FL",FL,12,Florida,33,"array([-3.19142234,  1.19065702])"
109,JNU,12523,1252306,32523,,"Juneau, AK",AK,02,Alaska,1,"array([-3.15479704,  1.04327367])"
